File Name,Frame,Timestamp,Focus,Cognitive Demand,Engagement,Memory
Hugo_Sanchez,123,00:00:05.083,34.0,33.4,56.4,55.0
Hugo_Sanchez,124,00:00:05.125,27.2,33.4,56.6,54.1
Hugo_Sanchez,125,00:00:05.166,25.9,53.4,56.8,53.4
Hugo_Sanchez,126,00:00:05.208,27.9,53.7,56.9,52.9
Hugo_Sanchez,127,00:00:05.250,28.7,54.0,56.8,52.8
Hugo_Sanchez,128,00:00:05.291,28.8,53.6,56.2,52.8
Hugo_Sanchez,129,00:00:05.333,30.9,54.1,55.2,52.9
Hugo_Sanchez,130,00:00:05.375,33.3,53.6,53.7,52.9
Hugo_Sanchez,131,00:00:05.416,33.7,42.6,51.6,52.5
Hugo_Sanchez,132,00:00:05.458,32.2,44.4,49.0,51.7
Hugo_Sanchez,133,00:00:05.500,28.5,45.7,46.0,50.3
Hugo_Sanchez,134,00:00:05.541,26.1,45.8,42.7,48.5
Hugo_Sanchez,135,00:00:05.583,30.5,47.1,39.3,46.4
Hugo_Sanchez,136,00:00:05.625,34.7,47.6,35.9,43.9
Hugo_Sanchez,137,00:00:05.666,38.6,37.6,32.5,41.3
Hugo_Sanchez,138,00:00:05.708,42.8,38.2,29.3,38.8
Hugo_Sanchez,139,00:00:05.750,45.7,39.0,26.4,36.5
Hugo_Sanchez,140,00:00:05.791,47.8,39.7,23.9,34.5
Hugo_Sanchez,141,00:00:05.833,48.4,23.3,22.0,33.0
Hugo_Sanchez,142,00:00:05.875,49.0,23.9,20.7,31.8
Hugo_Sanchez,143,00:00:05.916,49.5,24.0,19.9,30.9
Hugo_Sanchez,144,00:00:05.958,50.1,24.1,19.6,30.4
Hugo_Sanchez,145,00:00:06.000,51.8,23.9,19.6,30.1
Hugo_Sanchez,146,00:00:06.041,52.7,24.2,19.8,30.0
Hugo_Sanchez,147,00:00:06.083,52.6,24.1,20.2,29.9
Hugo_Sanchez,148,00:00:06.125,52.7,24.3,20.7,29.8
Hugo_Sanchez,149,00:00:06.166,53.0,24.1,21.4,29.7
Hugo_Sanchez,150,00:00:06.208,52.4,24.1,22.7,29.7
Hugo_Sanchez,151,00:00:06.250,51.7,24.1,24.6,29.7
Hugo_Sanchez,152,00:00:06.291,51.1,24.0,27.6,29.8
Hugo_Sanchez,153,00:00:06.333,50.8,24.2,31.6,30.1
Hugo_Sanchez,154,00:00:06.375,51.0,31.0,36.6,30.4
Hugo_Sanchez,155,00:00:06.416,52.1,31.0,42.2,30.9
